source,app,date,stars,quote,url
Play Store,Groww,2026-09-08,3,"Cumulative investing is not easy to track when investors have multiple financial goals. It would be great if the app introduced goal-wise trackers with sub-divisions for goals like retirement, education, wealth creation, etc.",https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-08-18,1,"Your app gets stuck far too often at the time of trade execution, and even after setting a profit/loss limit, the order does not get executed automatically. I have incurred losses so many times because of this issue",https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-09-09,4,"its processing speed is very slow... Whenever I want to redeem money, it takes five days for the money to be credited. Reduce the redemption time from five days to two days.",https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-08-30,5,As a beginner I'm very satisfied with their service. App is pretty fast. Especially IPO application process happens at lightning speed. They provide tons of information,https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-08-20,4,"after that, the app is not opening or proceeding further. It is stuck on the 'Allow Permissions' screen, and I am unable to continue",https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-08-20,1,"I tried a lot to skip my sips for a month and it shows it can be done 2 days before sip date, but even before 2 days it doesn't work. I recently got operated on my knee and... just need one month",https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-08-30,1,"there is no separate category or dedicated section for International Mutual Funds, making it difficult to find all available funds",https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-08-28,3,Had to rate 3* down from 5*... everyone else was facing the issue with the latest app update,https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-08-30,1,I called their support team for email changing problem... they told it's may take 2/3 working days but even after 10 days their is no response,https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-08-31,1,"unable to login with my mobile number. it always gives error - 'something went wrong'. trying for past week, same error",https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-08-31,5,good app with very simple interface. almost every thing u need is available. customer support is very good also during market hours,https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-08-28,1,ridiculous new update. When we open the charts the back button on our phone just disappears and we end up clicking the scalper mode,https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-08-31,2,off late the updates in this particular app is getting so vulnerable that it totally lacked,https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-08-31,1,trying to update my e-mail id but due to reasons unknown it has failed number of times. Everytime I tried it shows 'Account Creation is in process',https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-08-28,1,worst support team... when you'll be explaining something they'll leave your call on hold,https://play.google.com/store/apps/details?id=com.nextbillion.groww
Play Store,Groww,2026-07-16,1,I had some shares to sell. It didn't let me that happen when the price was in my target level... then after sometime I checked my entire holding was not showing due to server issue,https://play.google.com/store/apps/details?id=com.nextbillion.groww
